episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
59,0.18002202442793544,0.0,0.1972,0.7951,-0.5979000000000001,8759,0.0,5.3090061428048415e-08,0.0001123027873996927
60,1.0080301671277898,0.0,1.7402000000000002,0.7951,0.9451000000000002,8759,9.50448194915765e-09,6.164937595675009e-08,0.00010956689750738943
61,-0.24707167506689642,0.0,-0.2189,0.7951,-1.014,8759,0.0,5.93720789136487e-08,0.00011322329897282684
62,-0.26018626533704015,0.0,-0.2291,0.7951,-1.0242,8759,0.0,5.797695564958528e-08,0.00011106578310920637
63,0.4332852437994311,0.0,0.5423,0.7951,-0.2528,8759,0.0,5.820626389162444e-08,0.0001074053329781694
64,0.7488369880217409,0.0,1.1145,0.7951,0.3194,8759,0.0,6.428921413207274e-08,9.916720975164911e-05
65,0.5588453519181141,0.0,0.7487,0.7951,-0.0464,8759,0.0,6.305495912801594e-08,9.260811019721419e-05
66,0.17684927199980885,0.0,0.1935,0.7951,-0.6016,8759,0.0,6.678159376054633e-08,8.700030578124905e-05
67,0.5567057713470552,0.0,0.7448999999999999,0.7951,-0.05020000000000013,8759,0.0,5.7078718969143725e-08,9.176146578206829e-05
68,0.9800322328894676,0.0,1.6644999999999999,0.7951,0.8693999999999998,8759,0.0,6.126964992424964e-08,9.135926394759528e-05
69,0.5229332570776069,0.0,0.687,0.7951,-0.10809999999999997,8759,0.0,6.236245954842159e-08,9.796313243988954e-05
70,0.902368220791924,0.0,1.4653999999999998,0.7951,0.6702999999999998,8759,0.0,6.074954035590815e-08,0.00010931506371952162
71,0.11971809202659049,0.0,0.1272,0.7951,-0.6679,8759,0.0,5.7395350677736324e-08,0.00011492995589871282
72,0.29431001595983125,0.0,0.3422,0.7951,-0.4529,8759,0.0,5.599969921714205e-08,0.00011357633582801707
73,0.11308594896777542,0.0,0.1197,0.7951,-0.6754,8759,0.0,5.588956502140446e-08,0.00011489118977999819
74,-0.0038018090464552873,0.0,-0.0038,0.7951,-0.7989,8759,0.0,6.310611548575247e-08,0.00011736518518567415
75,0.2317367080221437,0.0,0.2608,0.7951,-0.5343,8759,0.0,5.7146292572439545e-08,0.00011435073450349434
76,0.5532407078755127,0.0,0.7389,0.7951,-0.05620000000000003,8759,0.0,6.44219884242762e-08,0.00010669525128293574
77,-0.09806538054186252,0.0,-0.0934,0.7951,-0.8885000000000001,8759,0.0,6.095036529419993e-08,0.00010591995595463395
78,0.6743887478390348,0.0,0.9628,0.7951,0.16769999999999996,8759,0.0,5.861806287847795e-08,0.00010839467997532619
79,0.37950442811372115,0.0,0.46159999999999995,0.7951,-0.3335000000000001,8759,0.0,5.886846159492548e-08,0.00011821071382331592
80,0.849020678563242,0.0,1.3374000000000001,0.7951,0.5423000000000001,8759,0.0,5.326504117423468e-08,0.00011867176739831121
81,0.6096069956196536,0.0,0.8397,0.7951,0.04459999999999997,8759,0.0,5.509853826365498e-08,0.0001098033232514669
82,-0.23880388044983317,0.0,-0.21239999999999998,0.7951,-1.0075,8759,8.543514763001294e-09,5.837619630726949e-08,0.00010822866006122644
83,0.6080364412359042,0.0,0.8368000000000001,0.7951,0.04170000000000007,8759,0.0,6.221714726060677e-08,0.00011022012208528956
84,-0.08035036080144271,0.0,-0.07719999999999999,0.7951,-0.8723000000000001,8759,0.0,5.8847080963343505e-08,0.00011121856393634262
85,0.07484548885553596,0.0,0.07769999999999999,0.7951,-0.7174,8759,0.0,5.77976753392201e-08,0.00010727861727133792
86,0.4791457979410465,0.0,0.6147,0.7951,-0.1804,8759,0.0,6.188757160981838e-08,9.789637568279543e-05
87,-0.20306370631632223,0.0,-0.1838,0.7951,-0.9789,8759,0.0,6.823288597272943e-08,9.617145181033715e-05
88,0.16946244426318974,0.0,0.18469999999999998,0.7951,-0.6104,8759,0.0,5.1710594206264846e-08,9.727460509538835e-05
